,symbole,date,open,high,low,close,volume,adjclose
1,MA,2021-02-24,352.8699951171875,368.7900085449219,350.57000732421875,367.32000732421875,7466100,367.32000732421875
2,MA,2021-02-23,340.6499938964844,354.2799987792969,338.4100036621094,350.4200134277344,6326600,350.4200134277344
0,DIS,2021-02-26,197.72999572753906,197.9600067138672,190.3800048828125,193.9199981689453,8908739,193.9199981689453
1,DIS,2021-02-24,197.5800018310547,200.60000610351562,195.3300018310547,197.50999450683594,16183700,197.50999450683594
2,DIS,2021-02-23,193.58999633789062,198.94000244140625,188.66000366210938,197.08999633789062,23160500,197.08999633789062
0,NVDA,2021-02-26,561.8170166015625,574.989990234375,530.719970703125,539.3699951171875,14042318,539.3699951171875
1,NVDA,2021-02-24,564.9099731445312,580.27001953125,550.239990234375,579.9600219726562,10979800,579.9600219726562
2,NVDA,2021-02-23,563.010009765625,569.5499877929688,535.5800170898438,565.6799926757812,9775400,565.6799926757812
0,BAC,2021-02-26,36.959999084472656,37.029998779296875,35.7599983215332,36.27640151977539,54773443,36.27640151977539
1,BAC,2021-02-24,35.7400016784668,36.52000045776367,35.599998474121094,36.380001068115234,58104800,36.380001068115234
2,BAC,2021-02-23,35.41999816894531,35.88999938964844,35.13999938964844,35.52000045776367,67407700,35.52000045776367
0,PG,2021-02-26,127.48999786376953,128.99000549316406,126.55000305175781,126.75,4634613,126.75
1,PG,2021-02-24,127.3499984741211,128.24000549316406,126.91000366210938,127.66000366210938,7262400,127.66000366210938
2,PG,2021-02-23,127.77999877929688,129.92999267578125,127.19000244140625,127.5199966430664,10143000,127.5199966430664
0,UNH,2021-02-26,331.0,333.5899963378906,327.9100036621094,329.1700134277344,1425316,329.1700134277344
1,UNH,2021-02-24,328.489990234375,333.6000061035156,326.0400085449219,332.2099914550781,3359000,332.2099914550781
2,UNH,2021-02-23,329.989990234375,333.94000244140625,326.6400146484375,329.510009765625,3225700,329.510009765625
0,PYPL,2021-02-26,262.760009765625,265.9100036621094,251.47000122070312,258.260009765625,8489748,258.260009765625
1,PYPL,2021-02-24,266.1050109863281,268.6659851074219,259.1000061035156,266.07000732421875,10829800,266.07000732421875
2,PYPL,2021-02-23,259.69000244140625,267.25,252.55999755859375,265.0,20426600,265.0
0,HD,2021-02-26,259.75,260.760009765625,255.05999755859375,256.5799865722656,4073130,256.5799865722656
1,HD,2021-02-24,263.2300109863281,266.989990234375,254.02999877929688,259.9700012207031,14508300,259.9700012207031
2,HD,2021-02-23,269.3800048828125,269.6700134277344,257.5799865722656,267.239990234375,12108000,267.239990234375
0,INTC,2021-02-26,62.404998779296875,63.540000915527344,60.349998474121094,61.099998474121094,21264961,61.099998474121094
1,INTC,2021-02-24,60.529998779296875,63.279998779296875,60.380001068115234,63.189998626708984,24602700,63.189998626708984
2,INTC,2021-02-23,60.47999954223633,61.5,59.16999816894531,61.119998931884766,27344800,61.119998931884766
0,NFLX,2021-02-26,550.27001953125,556.47998046875,535.7999877929688,542.22998046875,2203854,542.22998046875
1,NFLX,2021-02-24,539.7999877929688,556.8499755859375,539.0700073242188,553.4099731445312,3242400,553.4099731445312
2,NFLX,2021-02-23,525.0,548.5399780273438,518.280029296875,546.1500244140625,4133500,546.1500244140625
0,CMCSA,2021-02-26,53.09000015258789,53.400001525878906,51.959999084472656,52.70000076293945,11320273,52.70000076293945
